selected_file,scanned_residues,reported_variants,completeness,completeness_group
urn-mavedb-00000585-0-1.scores.csv,43,928,1.0790697674418606,c > 1
urn-mavedb-00000454-0-1.scores.csv,64,1760,1.375,c > 1
urn-mavedb-00000039-a-2.scores.csv,9,185,1.0277777777777777,c > 1
urn-mavedb-00000306-0-1.scores.csv,62,1725,1.3911290322580645,c > 1
urn-mavedb-00000492-0-1.scores.csv,43,944,1.0976744186046512,c > 1
urn-mavedb-00000600-a-2.scores.csv,43,1283,1.491860465116279,c > 1
urn-mavedb-00000363-a-2.scores.csv,67,1832,1.3671641791044775,c > 1
urn-mavedb-00000644-a-2.scores.csv,47,1032,1.097872340425532,c > 1
urn-mavedb-00000188-a-1.scores.csv,59,1296,1.0983050847457627,c > 1
urn-mavedb-00000785-a-1.scores.csv,59,1140,0.9661016949152542,0.9 ≤ c < 1
urn-mavedb-00000461-a-1.scores.csv,47,1020,1.0851063829787233,c > 1
urn-mavedb-00000531-a-1.scores.csv,40,865,1.08125,c > 1
urn-mavedb-00000296-0-1.scores.csv,52,2218,2.1326923076923077,c > 1
urn-mavedb-00000477-a-1.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000235-a-2.scores.csv,58,1630,1.4051724137931034,c > 1
urn-mavedb-00000328-a-2.scores.csv,52,3307,3.1798076923076923,c > 1
urn-mavedb-00000203-a-2.scores.csv,64,1394,1.0890625,c > 1
urn-mavedb-00000395-a-1.scores.csv,63,2104,1.66984126984127,c > 1
urn-mavedb-00001064-a-1.scores.csv,68,1242,0.913235294117647,0.9 ≤ c < 1
urn-mavedb-00000433-a-1.scores.csv,64,2126,1.6609375,c > 1
urn-mavedb-00000911-a-1.scores.csv,56,1093,0.9758928571428571,0.9 ≤ c < 1
urn-mavedb-00000407-0-1.scores.csv,44,2364,2.6863636363636365,c > 1
urn-mavedb-00000115-a-4.scores.csv,187,3082,0.8240641711229947,0.8 ≤ c < 0.9
urn-mavedb-00000179-0-1.scores.csv,44,2910,3.3068181818181817,c > 1
urn-mavedb-00000081-a-2.scores.csv,210,2820,0.6714285714285714,0.6 ≤ c < 0.7
urn-mavedb-00000164-0-1.scores.csv,72,2157,1.4979166666666666,c > 1
urn-mavedb-00000992-a-1.scores.csv,50,956,0.956,0.9 ≤ c < 1
urn-mavedb-00000236-0-1.scores.csv,58,1265,1.0905172413793103,c > 1
urn-mavedb-00000679-a-1.scores.csv,61,1177,0.9647540983606557,0.9 ≤ c < 1
urn-mavedb-00000311-a-1.scores.csv,56,1592,1.4214285714285715,c > 1
urn-mavedb-00000726-a-1.scores.csv,53,1041,0.9820754716981132,0.9 ≤ c < 1
urn-mavedb-00001067-a-1.scores.csv,67,1225,0.914179104477612,0.9 ≤ c < 1
urn-mavedb-00000171-0-1.scores.csv,56,1225,1.09375,c > 1
urn-mavedb-00000370-a-2.scores.csv,62,1715,1.3830645161290323,c > 1
urn-mavedb-00000575-0-1.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000060-a-1.scores.csv,42,704,0.8380952380952381,0.8 ≤ c < 0.9
urn-mavedb-00000542-a-1.scores.csv,47,1023,1.0882978723404255,c > 1
urn-mavedb-00000943-a-1.scores.csv,23,457,0.9934782608695653,0.9 ≤ c < 1
urn-mavedb-00000762-a-1.scores.csv,89,1746,0.9808988764044944,0.9 ≤ c < 1
urn-mavedb-00000397-0-1.scores.csv,64,1756,1.371875,c > 1
urn-mavedb-00000912-a-1.scores.csv,53,910,0.8584905660377359,0.8 ≤ c < 0.9
urn-mavedb-00000583-a-2.scores.csv,43,1985,2.308139534883721,c > 1
urn-mavedb-00000907-a-1.scores.csv,88,1760,1.0,1
urn-mavedb-00001214-j-1.scores.csv,49,978,0.9979591836734694,0.9 ≤ c < 1
urn-mavedb-00001028-a-1.scores.csv,79,1578,0.9987341772151899,0.9 ≤ c < 1
urn-mavedb-00000576-0-1.scores.csv,43,939,1.091860465116279,c > 1
urn-mavedb-00000838-a-1.scores.csv,56,1056,0.9428571428571428,0.9 ≤ c < 1
urn-mavedb-00000140-a-1.scores.csv,66,2170,1.643939393939394,c > 1
urn-mavedb-00000608-a-1.scores.csv,47,1028,1.0936170212765957,c > 1
