train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id,cut_percent
636,0.0676932573856329,0.05179058957989095,0.9570819029370348,0.9818323065250395,159,0.20527513183234997,0.16979045411972485,0.651925463796569,0.8170533385096156,744,0.1
565,0.06628840868424528,0.050665404856749335,0.9556455807101898,0.9815809126284966,142,0.1991938086632468,0.1578503433781163,0.6354812069520188,0.7998339901046264,744,0.2
495,0.06249029858664067,0.04767053224897264,0.9595125969667959,0.9830286333883191,124,0.20247847474229796,0.15635382801754372,0.5658754352386257,0.757429804919062,744,0.3
770,0.13084847825046847,0.09626744219162385,0.8008864322529193,0.9166099597476998,193,0.19319358768761516,0.14748806687260727,0.4898977967142676,0.7025311271947042,680,0.1
684,0.06402455573963427,0.04475060666630799,0.9463211649810768,0.9770175093202274,172,0.15841726890544092,0.12774952098995665,0.6432688109774332,0.8048825653649616,680,0.2
599,0.12874030791802613,0.09420489028758455,0.7600330111484893,0.9050094537618903,150,0.1508359193808279,0.11877144299410897,0.5631819927895418,0.7580777852995635,680,0.3
354,0.03861991455939065,0.02932278771661124,0.9880069128014443,0.9956345157762385,89,0.2643941818232234,0.216818087343101,0.5803674572382471,0.7768648080973795,878,0.1
315,0.13170649839648785,0.10262035577557725,0.8429120198307953,0.9374330941630983,79,0.2976857367078547,0.2481604748507881,0.42781291147948,0.6609595789704072,878,0.2
276,0.11794858732193918,0.09289088952531965,0.8717663697002459,0.9479722451772467,69,0.25350663886734853,0.20889735971316584,0.4869057253332726,0.717269022223321,878,0.3
806,0.01322943424285268,0.007952665041612962,0.9980249523610821,0.999142469015333,202,0.14489016062471774,0.11347647684667879,0.7177425008981617,0.849371899073366,658,0.1
716,0.062405346784862425,0.044968641901702626,0.9452970290349869,0.9768987257569886,180,0.13572227231106662,0.10539990007484984,0.7286206917394131,0.8551883199167619,658,0.2
627,0.028751996393544376,0.018800605399989113,0.9856787020318835,0.9941320125182956,157,0.138548667658997,0.10918345595122028,0.722491008901289,0.8548397544930048,658,0.3
1044,0.07595748152852853,0.05418848417057832,0.93713553598002,0.9723525434835912,262,0.1520881548158192,0.11358471681648731,0.7265071129675325,0.8527994709226613,872,0.1
928,0.04505647908393769,0.030503339716257884,0.9715782117627012,0.9878409291149735,233,0.13472110798466283,0.10378502486667948,0.725120760985689,0.852427555489875,872,0.2
812,0.010262752316982008,0.0048576574280815975,0.9980957616389629,0.9991457467309883,204,0.14149674573120666,0.10030146662486213,0.6200734569821834,0.787839878804161,872,0.3
624,0.09953493737892523,0.07460244116187603,0.90875043326511,0.9604455720677147,157,0.16969230644791236,0.13271819694083956,0.6928307762582764,0.8339564399560188,676,0.1
555,0.05401461241404872,0.03812776385427654,0.9699627184234254,0.9869947427535213,139,0.17274674970428938,0.13635567358827302,0.7170726141488637,0.848505369961323,676,0.2
485,0.09085462961757161,0.06995214920148105,0.9152182325642615,0.963405430932625,122,0.16415556271266898,0.13242939259365458,0.6962586504673756,0.8346792979629661,676,0.3
396,0.0392414742401139,0.016962440061901642,0.9753647417940027,0.9895430023297063,99,0.1468767311991962,0.10862273464945368,0.635928743079887,0.8069415738570828,682,0.1
352,0.01977832804291911,0.004479964104011685,0.9934150685096579,0.9969392640717554,88,0.14580899356669605,0.1034718467980574,0.7044489299538406,0.8502815009808466,682,0.2
308,0.027146017161542316,0.009369371020374025,0.988261640607808,0.9947548571344894,77,0.13899888271243557,0.10989961067524853,0.620040090017068,0.7913100605176084,682,0.3
576,0.12545121320037528,0.09577825944420199,0.8535546629399744,0.9374727975080166,145,0.2459418203842506,0.19008026547874157,0.46841306308485353,0.6875477335803707,675,0.1
512,0.10888294593053154,0.08063205642075535,0.8714015687618997,0.946800713517458,129,0.20701568963388042,0.16522052420954603,0.5263981344824264,0.7259955566399201,675,0.2
448,0.04967225092874816,0.03521891349242307,0.9660250309065302,0.9877875804735583,113,0.2109251232684077,0.16665736132329725,0.4851871428171658,0.7050533354518153,675,0.3
830,0.006537303766203037,0.0020835191733339334,0.9994885681351356,0.9997601849447204,208,0.17733916901040445,0.13778294337722025,0.641575080248897,0.8011442196588465,596,0.1
738,0.006365072984536381,0.0035980210350744155,0.9994643915116047,0.9997741526715906,185,0.1649353704340206,0.1302947033834786,0.6331842967768206,0.7970085761601993,596,0.2
646,0.009202067773778754,0.006008774308026416,0.9987302439731675,0.9994916691910269,162,0.15997363650441293,0.12545321677611782,0.6629831843043716,0.8204490016651353,596,0.3
541,0.0444412837603435,0.03116788041199997,0.9790978755023894,0.990926292819318,136,0.1767065729876334,0.13599189697657965,0.7161798886469328,0.8525300990487102,876,0.1
481,0.036841205362608695,0.0251671901578675,0.984431833633284,0.9933586196230522,121,0.16771793591909376,0.12834947899982158,0.7015334924563912,0.8415855075357718,876,0.2
421,0.039279420371275624,0.02702154916754597,0.9790747637354292,0.9912972409208516,106,0.16379992565734275,0.12259380651129091,0.6523020136098934,0.8082953943955191,876,0.3
675,0.011438573179878002,0.006628846661700978,0.9989772531836195,0.9995689597733602,169,0.20506632533322644,0.16519804987000633,0.6499627127945546,0.8088104641006897,919,0.1
600,0.11452071238896448,0.08723948472534684,0.8930537923722563,0.9551843835582843,150,0.22173315794396983,0.1829641907301959,0.5794667050372913,0.7631144273305096,919,0.2
524,0.044909841769822094,0.03347269223108248,0.9813860196997963,0.9923609219509281,132,0.21883820200537113,0.17254839386320153,0.5887715089009558,0.7679687501480941,919,0.3
1045,0.03776886209555285,0.02300486059903349,0.9849798444230865,0.9935720543149612,262,0.18644437121665844,0.1370856887973037,0.6441928666143931,0.8027722763064825,672,0.1
929,0.026757659466291783,0.016902445668704393,0.9913943792609708,0.9963158825246319,233,0.16588942338194962,0.12170439047564154,0.6645894120010898,0.8185751455944368,672,0.2
813,0.06256614648149168,0.042214577835961345,0.9444957139548478,0.9752653052835272,204,0.17765062617720032,0.13650254053677868,0.6048472985142498,0.7797961171574096,672,0.3
735,0.1586322319350475,0.11923602771681745,0.8259702026375139,0.9314283111019741,184,0.28148736500721144,0.2219787819692251,0.46185054178495477,0.6862669027617269,718,0.1
