gene_id,gene_name,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
978,SRY High mobility group box domain,355,0.02738576379,0.01557285311,0.9924172065,0.9964298075,491,0.1408425581,0.0895359387,0.7912604541,0.890290642
674,WWTR1 WW domain,518,0.03461493908,0.02118066464,0.9908973445,0.995939088,716,0.1685381012,0.1195383682,0.7795839591,0.8835805834
972,CD2AP SH3 domain,522,0.01577285265,0.006621199702,0.9975330442,0.9988563269,722,0.1329600637,0.089235313,0.7784220932,0.8828186812
809,SOX5 High mobility group box domain,554,0.0740954269,0.04446703388,0.9430171946,0.9733705105,767,0.1383340487,0.09097858484,0.7538175009,0.8683097921
794,CD2AP SH3 domain,520,0.03719789984,0.02227736516,0.9882687081,0.9948672229,719,0.1645329728,0.1193760883,0.7500701874,0.8662767711
924,SHOX Homeobox domain,551,0.02772211071,0.01579654781,0.9944413779,0.9974373051,761,0.1830271181,0.1297788172,0.7489153264,0.8660100487
684,DLG3 PDZ domain,711,0.04003298415,0.02396377082,0.987188625,0.9943571235,984,0.1884491952,0.1394493385,0.7293839617,0.8551008442
658,PDZRN3 PDZ domain,469,0.0591126829,0.03832878477,0.9672634688,0.9862970934,650,0.1689367119,0.1282478474,0.7250739012,0.8519837715
891,SUOX Cytochrome b5-like heme/steroid binding domain,513,0.07320287306,0.04272587669,0.9366884554,0.9701897855,710,0.150234035,0.09936696275,0.7241010109,0.8513951482
939,SOX17 High mobility group box domain,409,0.02760237249,0.01548532731,0.9915382224,0.9963134614,565,0.1824304398,0.1290659422,0.7192719563,0.8508419964
737,PHOX2A Homeobox domain,591,0.03665597415,0.02288128881,0.9877439604,0.9948364716,817,0.1806022241,0.1317458793,0.7152106395,0.8465901677
555,FADD Death effector domain,470,0.009123786188,0.002851492631,0.9992556825,0.9996441228,651,0.1780072115,0.1300441679,0.7103235696,0.8455043626
638,"RERE Zinc finger, GATA-type domain",726,0.04062276942,0.0199873629,0.9788217181,0.9907896653,1003,0.1530197995,0.09932995617,0.7125974626,0.8451764706
687,SOX2 High mobility group box domain,509,0.06012317621,0.04035994386,0.961477887,0.9837539979,703,0.1634750853,0.1192744738,0.7096985958,0.843607963
995,PDHX Peripheral subunit-binding domain,78,0.1144678827,0.0928549132,0.8948099838,0.9585458161,109,0.1750996007,0.1431183718,0.6967605697,0.8404596118
976,HERC2 CPH domain,339,0.04488923387,0.02249766128,0.9763651281,0.9896990483,469,0.161595542,0.1146168584,0.7040836884,0.8404119135
602,DLG3 PDZ domain,415,0.0619145697,0.04125809452,0.9661184383,0.9847535201,575,0.1822762951,0.1304033926,0.7015220973,0.8378566944
779,DVL1 DIX domain,627,0.01454063304,0.008507490945,0.9981565029,0.9991826021,866,0.1969829394,0.1420662444,0.6987518594,0.8375787847
872,MID1 B-box-type zinc finger domain,609,0.09331403785,0.05965222441,0.9300162782,0.9681933133,842,0.197965694,0.145705552,0.6862302908,0.8294872949
937,MYOCD SAP domain,462,0.05439176682,0.03696854328,0.9657706336,0.9857450834,640,0.1728346527,0.125158832,0.6824659785,0.8267647794
632,TRIM36 B-box-type zinc finger domain,538,0.05274625948,0.03241646856,0.9606177505,0.9844479874,745,0.15955265,0.1165623451,0.6632871517,0.8159926095
881,"FHL1 Zinc finger, LIM-type domain",317,0.057046174,0.03959304097,0.9508816691,0.9797606304,439,0.1541389046,0.1108857329,0.6627807158,0.8147469661
945,DMTF1 SANT/Myb domain,598,0.03683220586,0.02379717195,0.9864644422,0.9945261138,828,0.1903335783,0.1390620545,0.6634026627,0.8146645815
825,"KMT2A Zinc finger, CXXC-type domain",712,0.0353099061,0.02067637591,0.9858541309,0.9940267509,985,0.1696618962,0.1142449381,0.662802253,0.8143043286
1004,SMARCA4 BRK domain,368,0.04631790782,0.02568931425,0.9803725808,0.991323073,510,0.185736166,0.1287290979,0.6455719335,0.8089405624
864,YAP1 WW domain,403,0.01613543374,0.009473461953,0.9968132317,0.9986024851,558,0.1816916037,0.1304857522,0.6445170505,0.8058329653
963,PRRX1 Homeobox domain,670,0.06868802996,0.04680289817,0.9628679675,0.9846477464,926,0.1961684659,0.1452359045,0.648318404,0.8057821035
1002,MSX1 Homeobox domain,361,0.04791094309,0.03312781598,0.9769037817,0.9899096798,500,0.1857668903,0.1398018082,0.648387043,0.8053502861
904,FLNB Filamin/ABP280 repeat-like domain,593,0.04016057212,0.02408685411,0.9861636165,0.993843002,820,0.1951383169,0.1368349631,0.6433353229,0.8044540926
699,MYO1E SH3 domain,183,0.08619563533,0.06180363482,0.9326343877,0.9720857537,254,0.2068020122,0.1593794033,0.6385025133,0.8022655828
611,"VCP CDC48, N-terminal subdomain",423,0.03647288386,0.02545834955,0.9866482989,0.9945907802,585,0.1965513087,0.1490023035,0.6389442086,0.8017014472
900,SIX3 Homeobox domain,554,0.006715764154,0.001993455071,0.99969304,0.9998540341,767,0.2265749419,0.172199541,0.6398322405,0.800783425
876,"CHD4 Zinc finger, PHD-finger domain",315,0.0401566032,0.02778933678,0.9844644549,0.9932362467,437,0.1951819794,0.1464719141,0.6350740968,0.7970602099
637,SPTAN1 EF-hand domain,666,0.05721499163,0.04061695527,0.9717271301,0.9884767457,920,0.2112059931,0.1588045976,0.6332702464,0.7963044441
875,VAX1 Homeobox domain,432,0.08849102563,0.06358212931,0.9222287922,0.9666245982,598,0.1949619713,0.1446233306,0.6306014057,0.7946841855
740,SMARCE1 High mobility group box domain,397,0.1077167693,0.08025819502,0.8934067548,0.9542639147,550,0.2106822499,0.1642972803,0.6282911742,0.7938290326
797,PROP1 Homeobox domain,465,0.01707154082,0.01267549812,0.9971622625,0.9988099727,643,0.201264321,0.156405084,0.627315887,0.7938156538
928,FANCL FANCL C-terminal domain,517,0.08679599243,0.06412734882,0.9335775068,0.9715214231,715,0.1928193864,0.1444527389,0.6271554826,0.7923455686
