gene_id,cut_percent,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
744,0.1,636,0.06769325739,0.05179058958,0.9570819029,0.9818323065,159,0.2052751318,0.1697904541,0.6519254638,0.8170533385
744,0.2,565,0.06628840868,0.05066540486,0.9556455807,0.9815809126,142,0.1991938087,0.1578503434,0.635481207,0.7998339901
744,0.3,495,0.06249029859,0.04767053225,0.959512597,0.9830286334,124,0.2024784747,0.156353828,0.5658754352,0.7574298049
680,0.1,770,0.1308484783,0.09626744219,0.8008864323,0.9166099597,193,0.1931935877,0.1474880669,0.4898977967,0.7025311272
680,0.2,684,0.06402455574,0.04475060667,0.946321165,0.9770175093,172,0.1584172689,0.127749521,0.643268811,0.8048825654
680,0.3,599,0.1287403079,0.09420489029,0.7600330111,0.9050094538,150,0.1508359194,0.118771443,0.5631819928,0.7580777853
878,0.1,354,0.03861991456,0.02932278772,0.9880069128,0.9956345158,89,0.2643941818,0.2168180873,0.5803674572,0.7768648081
878,0.2,315,0.1317064984,0.1026203558,0.8429120198,0.9374330942,79,0.2976857367,0.2481604749,0.4278129115,0.660959579
878,0.3,276,0.1179485873,0.09289088953,0.8717663697,0.9479722452,69,0.2535066389,0.2088973597,0.4869057253,0.7172690222
658,0.1,806,0.01322943424,0.007952665042,0.9980249524,0.999142469,202,0.1448901606,0.1134764768,0.7177425009,0.8493718991
658,0.2,716,0.06240534678,0.0449686419,0.945297029,0.9768987258,180,0.1357222723,0.1053999001,0.7286206917,0.8551883199
658,0.3,627,0.02875199639,0.0188006054,0.985678702,0.9941320125,157,0.1385486677,0.109183456,0.7224910089,0.8548397545
872,0.1,1044,0.07595748153,0.05418848417,0.937135536,0.9723525435,262,0.1520881548,0.1135847168,0.726507113,0.8527994709
872,0.2,928,0.04505647908,0.03050333972,0.9715782118,0.9878409291,233,0.134721108,0.1037850249,0.725120761,0.8524275555
872,0.3,812,0.01026275232,0.004857657428,0.9980957616,0.9991457467,204,0.1414967457,0.1003014666,0.620073457,0.7878398788
676,0.1,624,0.09953493738,0.07460244116,0.9087504333,0.9604455721,157,0.1696923064,0.1327181969,0.6928307763,0.83395644
676,0.2,555,0.05401461241,0.03812776385,0.9699627184,0.9869947428,139,0.1727467497,0.1363556736,0.7170726141,0.84850537
676,0.3,485,0.09085462962,0.0699521492,0.9152182326,0.9634054309,122,0.1641555627,0.1324293926,0.6962586505,0.834679298
682,0.1,396,0.03924147424,0.01696244006,0.9753647418,0.9895430023,99,0.1468767312,0.1086227346,0.6359287431,0.8069415739
682,0.2,352,0.01977832804,0.004479964104,0.9934150685,0.9969392641,88,0.1458089936,0.1034718468,0.70444893,0.850281501
682,0.3,308,0.02714601716,0.00936937102,0.9882616406,0.9947548571,77,0.1389988827,0.1098996107,0.62004009,0.7913100605
675,0.1,576,0.1254512132,0.09577825944,0.8535546629,0.9374727975,145,0.2459418204,0.1900802655,0.4684130631,0.6875477336
675,0.2,512,0.1088829459,0.08063205642,0.8714015688,0.9468007135,129,0.2070156896,0.1652205242,0.5263981345,0.7259955566
675,0.3,448,0.04967225093,0.03521891349,0.9660250309,0.9877875805,113,0.2109251233,0.1666573613,0.4851871428,0.7050533355
596,0.1,830,0.006537303766,0.002083519173,0.9994885681,0.9997601849,208,0.177339169,0.1377829434,0.6415750802,0.8011442197
596,0.2,738,0.006365072985,0.003598021035,0.9994643915,0.9997741527,185,0.1649353704,0.1302947034,0.6331842968,0.7970085762
596,0.3,646,0.009202067774,0.006008774308,0.998730244,0.9994916692,162,0.1599736365,0.1254532168,0.6629831843,0.8204490017
876,0.1,541,0.04444128376,0.03116788041,0.9790978755,0.9909262928,136,0.176706573,0.135991897,0.7161798886,0.852530099
876,0.2,481,0.03684120536,0.02516719016,0.9844318336,0.9933586196,121,0.1677179359,0.128349479,0.7015334925,0.8415855075
876,0.3,421,0.03927942037,0.02702154917,0.9790747637,0.9912972409,106,0.1637999257,0.1225938065,0.6523020136,0.8082953944
919,0.1,675,0.01143857318,0.006628846662,0.9989772532,0.9995689598,169,0.2050663253,0.1651980499,0.6499627128,0.8088104641
919,0.2,600,0.1145207124,0.08723948473,0.8930537924,0.9551843836,150,0.2217331579,0.1829641907,0.579466705,0.7631144273
919,0.3,524,0.04490984177,0.03347269223,0.9813860197,0.992360922,132,0.218838202,0.1725483939,0.5887715089,0.7679687501
672,0.1,1045,0.0377688621,0.0230048606,0.9849798444,0.9935720543,262,0.1864443712,0.1370856888,0.6441928666,0.8027722763
672,0.2,929,0.02675765947,0.01690244567,0.9913943793,0.9963158825,233,0.1658894234,0.1217043905,0.664589412,0.8185751456
672,0.3,813,0.06256614648,0.04221457784,0.944495714,0.9752653053,204,0.1776506262,0.1365025405,0.6048472985,0.7797961172
718,0.1,735,0.1586322319,0.1192360277,0.8259702026,0.9314283111,184,0.281487365,0.221978782,0.4618505418,0.6862669028
718,0.2,653,0.1674166323,0.128846712,0.8038859923,0.9232759157,164,0.2570989137,0.1964744262,0.4477287676,0.6766078697
718,0.3,572,0.1462043771,0.1122744187,0.8343158209,0.9347930112,143,0.2640176666,0.1995481577,0.5037810086,0.7155384012
687,0.1,872,0.02776256754,0.01629473199,0.9903010262,0.9957959609,219,0.1462495157,0.1097087996,0.7699601107,0.8802142587
687,0.2,776,0.02395200021,0.01305972937,0.9918151105,0.9964201995,194,0.133438235,0.09671426619,0.7287201849,0.8536952948
687,0.3,679,0.005491901116,0.002060791368,0.9994894182,0.9997637553,170,0.1203016207,0.08640647867,0.7519476224,0.8700447748
