,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
482,0.1,0,urn:mavedb:00000001-a-3,0.519408328,0.3922486428,0.2085174249,0.2031836133,0.3247325529,0.4584880233,0.5240897977,,0.3454045915,,0.3475901016,0.4512899994,0.7322866686,0.3470646169,0.4813004721,0.7054548297
238,0.1,0,urn:mavedb:00000001-b-2,0.5617686822,0.5262774278,0.09799318746,0.2591438499,0.4184725667,0.4711113231,0.6243975402,,0.4890871303,,0.3794447469,0.2902923515,0.8289921789,0.3887088759,0.3230636778,0.7907198353
654,0.1,0,urn:mavedb:00000041-b-1,-0.03964163194,0.1323066432,-0.04232929127,-0.1906225395,0.06060579861,-0.02884800703,,,,,0.3856170275,-0.1875254967,,0.480069713,0.09023225471,
1338,0.1,0,urn:mavedb:00000043-a-1,0.1427440649,0.1636326065,-0.1256667661,-0.1750490021,0.3679285497,0.2235517918,,,,,0.3727944203,-0.4598856726,,0.4000802747,0.01486900329,
695,0.1,0,urn:mavedb:00000045-c-1,0.5782742181,0.6182164098,0.06111941371,0.3939455718,0.1370679421,0.1837759335,0.6732774285,0.7353527056,0.6614515385,0.6074646811,0.2791865391,0.1898443818,0.5404473795,0.2797777764,0.1880680185,0.9974784494
102,0.1,0,urn:mavedb:00000045-d-1,0.6799349725,0.7003131799,0.1375049437,0.3689572998,0.421575923,0.4581376305,0.7600241435,0.7803610711,0.6587613505,0.7192815414,0.4818620027,0.3269002568,-0.04075432858,0.4800234648,0.31260304,0.09078720179
1293,0.1,0,urn:mavedb:00000045-g-1,0.7177879361,0.7476889703,0.1826077454,0.452535858,0.4313419488,0.4515372327,0.7678751528,0.7202004416,0.6170778498,0.5692346067,0.4485062354,0.6780372138,-0.3704665188,0.4032234219,0.6313931759,-0.2898040637
696,0.1,0,urn:mavedb:00000045-h-1,0.5805734381,0.6424895431,0.07108855639,0.3801165699,0.3384293485,0.135674306,0.6745333621,0.8635687936,0.6453966399,0.5776986747,0.1943413183,0.2465328988,1,0.1889643719,0.2380656222,1
1142,0.1,0,urn:mavedb:00000045-i-1,0.5770844628,0.6604863289,0.1345381433,0.3020453883,0.4544060064,0.4453317197,0.6816479521,0.8246849461,0.570072531,0.7809118014,0.425708467,0.08271035933,,0.4353931124,0.09558687567,
505,0.1,0,urn:mavedb:00000045-k-1,0.5969455735,0.571157847,0.2301442205,0.4895992725,0.3141254438,0.4144348381,0.6092874043,0.708139839,0.2141381698,0.6786250662,0.2902941819,0.2662666583,-0.1704345044,0.2922809024,0.275041119,-0.1704345044
