,Unnamed: 0,dms_id,repeat,envision_spear,envision_pears,envision_rmse,wu2019_spear,wu2019_pears,wu2019_rmse,lasso_spear,lasso_pears,lasso_rmse,fdms_spear,fdms_pears,fdms_rmse,row-mean_spear,row-mean_pears,row-mean_rmse,ensemble_spear,ensemble_pears,ensemble_rmse,vefill-max_spear,vefill-max_pears,vefill-max_rmse,vefill-min_spear,vefill-min_pears,vefill-min_rmse,5nn-blosum100_pears,5nn-functional_pears
337,337,urn:mavedb:00000001-d-1,0,0.2956984141,0.29645049,0.2645031898,0.2246305649,0.2064729757,0.2711515346,0.2786130561,0.2756331334,0.2668993254,0.2352118753,0.2357163871,0.2780508178,0.1449306865,0.139252388,0.2826111482,0.3167380895,0.3220785523,0.262191177,,0.4173458391,0.5592369199,,0.3486435829,0.5725386773,0.1846537724,0.2842069848
373,373,urn:mavedb:00000003-a-2,0,0.3365439433,0.4580599988,0.259461298,0.3500825167,0.4491169435,0.2666129985,0.3627003057,0.4896614939,0.2535392172,0.3488763609,0.4236950528,0.2870677807,0.2910242806,0.4280515978,0.2653721483,0.3870453098,0.5279512812,0.2472036025,,0.5975793516,0.3637974857,,0.7053238845,0.3614497557,0.5412003422,0.5604132585
294,294,urn:mavedb:00000003-b-2,0,0.2933660763,0.5310266445,0.1887489011,0.3352713669,0.5281595657,0.2014364838,0.3661690873,0.4731782467,0.19676921,0.337406474,0.4551685539,0.2193875372,0.3215203847,0.5155925301,0.1909387617,0.3777857826,0.5598119502,0.1846845186,,0.5947219929,4.443739072,,0.657971852,4.251390932,0.4735809503,0.5246962691
552,552,urn:mavedb:00000005-a-5,0,0.4810981654,0.5067040434,0.4058973902,0.404273412,0.4412378241,0.4239385776,0.4103617788,0.428578747,0.4277073779,0.3979583564,0.4100937416,0.4384446248,0.4125298087,0.441118273,0.4292216888,0.4753187844,0.4980585382,0.4085113503,,0.5227236756,0.3967382006,,0.525484971,0.4162441817,0.3632268949,0.4377970807
348,348,urn:mavedb:00000005-a-6,0,0.5195519329,0.5384096975,0.389231762,0.4588641554,0.485724329,0.4071379412,0.4593424264,0.4670518536,0.4085923111,0.4535181305,0.4682971149,0.4118676581,0.4463784883,0.4696431124,0.4074201574,0.5152623236,0.5499154476,0.3859364419,,0.5595695537,0.3792838778,,0.5475340669,0.3853900055,0.3536165972,0.4434545046
590,590,urn:mavedb:00000043-a-1,0,0.19646098,0.1604001623,0.2962874004,0.4168665336,0.2684966019,0.2848095069,0.1847938813,0.3902755001,0.2761468934,0.1702100078,0.2533533556,0.2913101341,0.3035698405,0.4082399645,0.2739023803,0.2516852476,0.2454030931,0.2888064213,,0.4835006251,0.562375166,,0.7053490982,0.6768087099,0.6461650401,0.8329136825
48,48,urn:mavedb:00000045-a-1,0,0.3087515803,0.4933768786,0.1970455487,0.0845109299,0.3195210839,0.2163560886,0.1883217446,0.4610505415,0.1985638326,0.1494279393,0.4156576188,0.213127701,0.1097346888,0.2527772354,0.2201773314,0.2239780868,0.5323372785,0.1895231511,,0.647060725,0.2317321823,,0.608074559,0.2164570548,0.4052247476,0.6185125245
704,704,urn:mavedb:00000045-b-1,0,0.2412319796,0.5552030202,0.1958973611,0.2397813809,0.4544041421,0.2178933945,0.2692447317,0.4584027578,0.2095259019,0.3296486933,0.5660405564,0.2073398372,0.2664465315,0.5024739568,0.2036330162,0.2704622016,0.6181549339,0.1850290034,,0.5953679503,0.24379447,,0.8106244734,0.1789954822,0.588696491,0.6914551072
474,474,urn:mavedb:00000045-c-1,0,0.5836787976,0.7826794615,0.1213729401,0.2757377758,0.452541124,0.1789373619,0.6069662662,0.801369672,0.1167436287,0.5724155794,0.786439176,0.1255677709,0.2971145017,0.4588276893,0.1730692902,0.596986483,0.8284577811,0.109534587,,0.9054366766,0.109551387,,0.8563508516,0.1285039701,0.6685994703,0.8331963528
153,153,urn:mavedb:00000045-d-1,0,0.6345293113,0.8761590671,0.1100677825,0.3456178161,0.6975123341,0.1716951229,0.6258848661,0.8363427259,0.1263667034,0.6451549991,0.8577972284,0.1228487237,0.2789651958,0.6241958375,0.1793815434,0.6691815595,0.8940306849,0.1023819403,,0.8869292619,0.1308948562,,0.8900656945,0.1099072426,0.7314883612,0.8556856137
266,266,urn:mavedb:00000045-e-1,0,0.3241353336,0.5142293047,0.1629818436,0.2429611263,0.4811020539,0.175264999,0.2307797328,0.4759280855,0.1667624501,0.2531102881,0.4559616471,0.1954924376,0.1913438426,0.399597499,0.1749400779,0.2525830142,0.5382529465,0.1613323378,,0.4715071549,0.250353001,,0.8025856547,0.1715990321,0.5908364726,0.6761402993
